Timestamp,transaction-fees-usd
03/07/2020,98172.581762145
04/07/2020,89621.60591
05/07/2020,27271.55629459
06/07/2020,49099.4013014
07/07/2020,79330.84595956
08/07/2020,46715.382095575
09/07/2020,18086.103640047
10/07/2020,49036.91445103
11/07/2020,1953.49757442
12/07/2020,27342.071313755
13/07/2020,79987.8628078
14/07/2020,89562.93017444
15/07/2020,93077.084228825
16/07/2020,13386.344949841
17/07/2020,5962.40619956
18/07/2020,2713.66922192
19/07/2020,25753.81677879
20/07/2020,20946.188139906
21/07/2020,52835.609468845
22/07/2020,340980.61846802
23/07/2020,289400.95421377
24/07/2020,189465.04264751
25/07/2020,59187.56193061
26/07/2020,60125.978751335
27/07/2020,286923.31716324
28/07/2020,64772.36126898
29/07/2020,939683.1268756
30/07/2020,987589.69845539
31/07/2020,925603.84921735
01/08/2020,492321.67169172
02/08/2020,207471.72131422
03/08/2020,468368.82847356
04/08/2020,251523.15707219
05/08/2020,571054.89168858
06/08/2020,308957.9382111
07/08/2020,622904.81880481
08/08/2020,23272.89716504
09/08/2020,31043.23911036
10/08/2020,589298.8115932
11/08/2020,762181.82905809
12/08/2020,435644.2900604
13/08/2020,260101.67914107
14/08/2020,278361.99223642
15/08/2020,8950.66224013
16/08/2020,19177.56749196
17/08/2020,91647.71750867
18/08/2020,945202.57585174
19/08/2020,740787.751279144
20/08/2020,542784.766919045
21/08/2020,596550.319885203
22/08/2020,84930.1619194099
23/08/2020,98530.3493479552
24/08/2020,21389.1496424453
25/08/2020,44881.0658189099
26/08/2020,236888.403234855
27/08/2020,402562.63726198
28/08/2020,197064.829847997
29/08/2020,57703.1379612649
30/08/2020,44364.36462156
31/08/2020,91099.8493408803
01/09/2020,498947.052071034
02/09/2020,480552.954979684
03/09/2020,476644.325323955
04/09/2020,625864.517255361
05/09/2020,246301.263576392
06/09/2020,24483.0170601325
07/09/2020,88468.9795823685
08/09/2020,50675.1157147604
09/09/2020,10163.3013048801
10/09/2020,140820.802146313
11/09/2020,80945.9779411131
12/09/2020,8918.2842913998
13/09/2020,9032.02982522396
14/09/2020,6616.0581740414
15/09/2020,31298.2620308343
16/09/2020,47678.0897720396
17/09/2020,71947.4737474852
18/09/2020,57383.619657055
19/09/2020,23699.8649147499
20/09/2020,59928.5484219399
21/09/2020,49684.1829644282
22/09/2020,76069.7873603869
23/09/2020,2747.45536237
24/09/2020,70012.8368624152
25/09/2020,37679.47297812
26/09/2020,48045.9788256948
27/09/2020,7015.393363995
28/09/2020,29103.34552623
29/09/2020,89805.5118573454
30/09/2020,19664.4617825851
01/10/2020,94199.49298434
02/10/2020,288160.72609602
03/10/2020,72418.7991438297
04/10/2020,91853.718426455
05/10/2020,82768.7349297388
06/10/2020,220125.232074085
07/10/2020,179806.910240235
08/10/2020,111494.66286778
09/10/2020,217905.23703174
10/10/2020,59894.8560518993
11/10/2020,83799.63049384
12/10/2020,57905.4757339802
13/10/2020,50506.8766397453
14/10/2020,49905.9962739248
15/10/2020,97788.0672735148
16/10/2020,28436.3441653196
17/10/2020,5357.8910331651
18/10/2020,16658.8618328352
19/10/2020,88446.3545453851
20/10/2020,24870.2824900897
21/10/2020,461640.012415789
22/10/2020,197550.043336765
23/10/2020,880521.72252187
24/10/2020,240565.693247974
25/10/2020,51879.590892079
26/10/2020,581159.896334148
27/10/2020,41572.4046883765
28/10/2020,459471.099815416
29/10/2020,523576.416338579
30/10/2020,627758.720960085
31/10/2020,455878.675498049
01/11/2020,838663.756504813
02/11/2020,937585.748946049
03/11/2020,847435.001188189
04/11/2020,605834.214338379
05/11/2020,787397.489026407
06/11/2020,78844.1396717667
07/11/2020,486150.546295707
08/11/2020,222515.513651725
09/11/2020,371662.71510015
10/11/2020,680247.53467649
11/11/2020,651053.576028724
12/11/2020,672393.318972784
13/11/2020,66706.4515975019
14/11/2020,78248.0659319302
15/11/2020,373930.45896033
16/11/2020,560223.353475659
17/11/2020,782231.61130511
18/11/2020,690198.526432982
19/11/2020,403265.76321197
20/11/2020,78179.623758941
21/11/2020,91242.6145193098
22/11/2020,44802.6451119351
23/11/2020,635711.430801244
24/11/2020,881507.447287457
25/11/2020,814488.23998029
26/11/2020,433816.230571361
27/11/2020,85192.5600987038
28/11/2020,24095.046996837
