Timestamp,estimated-transaction-volume
04-07-2020,65853.25112188
05-07-2020,56485.87730006
06-07-2020,153047.68296299
07-07-2020,136498.13518475
08-07-2020,168963.39771102
09-07-2020,148305.10213171
10-07-2020,134832.56779962
11-07-2020,62439.45483231
12-07-2020,52038.28606021
13-07-2020,145833.85066208
14-07-2020,135077.87873092
15-07-2020,134399.36045799
16-07-2020,138881.66240032
17-07-2020,120592.3334977
18-07-2020,76360.18484154
19-07-2020,69405.55348604
20-07-2020,115174.80670189
21-07-2020,142457.17097893
22-07-2020,171740.04536776
23-07-2020,181464.97046959
24-07-2020,165485.21008473
25-07-2020,93120.88008072
26-07-2020,102256.38673427
27-07-2020,241064.03097767
28-07-2020,247901.53996404
29-07-2020,186376.24203951
30-07-2020,171555.36850361
31-07-2020,190126.70314336
01-08-2020,110125.76372457
02-08-2020,102452.37259534
03-08-2020,233677.32376718
04-08-2020,134798.1200302
05-08-2020,120526.43279489
06-08-2020,180464.5498093
07-08-2020,162147.28054885
08-08-2020,81890.38277316
09-08-2020,70244.03826157
10-08-2020,171350.552971
11-08-2020,157580.08954622
12-08-2020,141475.93979464
13-08-2020,147604.36547487
14-08-2020,194831.86014598
15-08-2020,91847.94287955
16-08-2020,77886.22661437
17-08-2020,168397.06450122
18-08-2020,194088.92428771
19-08-2020,165408.41867124994
20-08-2020,135544.17042732993
21-08-2020,129046.70785575006
22-08-2020,81975.71478551996
23-08-2020,59773.08127484999
24-08-2020,114941.93451913002
25-08-2020,136983.09553248997
26-08-2020,141116.28273540997
27-08-2020,139498.85341366997
28-08-2020,175750.82905829992
29-08-2020,81346.11833217996
30-08-2020,94059.00261656001
31-08-2020,201119.7191597001
01-09-2020,197979.43152455002
02-09-2020,182860.61712774006
03-09-2020,199753.31196598004
04-09-2020,242003.28333189996
05-09-2020,122922.04357359996
06-09-2020,92445.78406697
07-09-2020,172730.1363213799
08-09-2020,168463.89601938007
09-09-2020,145217.14817268006
10-09-2020,146146.67801436002
11-09-2020,156938.70920046995
12-09-2020,82608.73707797992
13-09-2020,75670.98122475
14-09-2020,156009.63340145
15-09-2020,155491.34199574
16-09-2020,172048.70141792996
17-09-2020,158931.5173593
18-09-2020,177236.43349251992
19-09-2020,92668.96837166004
20-09-2020,77545.23233521999
21-09-2020,152786.40710971996
22-09-2020,154965.64202564996
