Timestamp,output-volume;
25/02/2021,2069107.68274877;
26/02/2021,1677568.53466005;
27/02/2021,1732528.44468258;
28/02/2021,1784275.04266434;
01/03/2021,1888598.3906587;
02/03/2021,1875555.60548977;
03/03/2021,1518628.37085402;
04/03/2021,1779724.7621046;
05/03/2021,1532927.69247764;
06/03/2021,2131170.94444074;
07/03/2021,1960164.69052539;
08/03/2021,1950759.74658228;
09/03/2021,1707223.44660622;
10/03/2021,1686284.5256209;
11/03/2021,1403994.23440791;
12/03/2021,1198768.62628429;
13/03/2021,1310705.00161222;
14/03/2021,1304712.96317162;
15/03/2021,1462311.37118773;
16/03/2021,1459949.36491054;
17/03/2021,1305655.23732748;
18/03/2021,1229178.36022501;
19/03/2021,1141108.22154303;
20/03/2021,1111269.24740971;
21/03/2021,1303028.39477677;
22/03/2021,1820037.75268451;
23/03/2021,1642262.4595887;
24/03/2021,1714693.32053722;
25/03/2021,1455942.77046627;
26/03/2021,1234256.27368626;
27/03/2021,921871.480620303;
29/03/2021,1608390.23598485;
30/03/2021,1498394.395054;
31/03/2021,1363836.52389601;
01/04/2021,1367155.3631431;
02/04/2021,1385175.13916943;
03/04/2021,1343101.89920891;
04/04/2021,1158422.77215085;
05/04/2021,1752316.98997152;
06/04/2021,2112936.20007933;
07/04/2021,1701486.90728589;
08/04/2021,1502138.75955335;
09/04/2021,1595604.27999445;
10/04/2021,1540955.8423908;
11/04/2021,1369947.83375633;
12/04/2021,1677284.99944059;
13/04/2021,1910823.29885851;
14/04/2021,1825474.59142734;
15/04/2021,1847187.57714583;
16/04/2021,1838170.57844408;
17/04/2021,1141728.09134032;
18/04/2021,1655752.75390291;
19/04/2021,1279783.38241715;
20/04/2021,1869473.94355634;
21/04/2021,1930649.38900101;
22/04/2021,2189518.07581751;
23/04/2021,2184878.17228987;
24/04/2021,1601340.37178446;
25/04/2021,1637219.90768236;
26/04/2021,2153568.75698785;
27/04/2021,2288671.00217661;
28/04/2021,2005694.12390541;
29/04/2021,2113534.73221994;
30/04/2021,2291090.28817867;
01/05/2021,1609084.89213354;
02/05/2021,1492195.71283671;
03/05/2021,2160532.97844695;
04/05/2021,2281525.14876549;
05/05/2021,1829464.98494907;
06/05/2021,1809184.20158905;
07/05/2021,1940607.49227639;
08/05/2021,1377275.22369792;
09/05/2021,1087017.0434825;
10/05/2021,1414063.21614802;
11/05/2021,1205320.61329465;
12/05/2021,1558112.24882452;
13/05/2021,2502521.91771965;
14/05/2021,2291844.66837065;
15/05/2021,1922161.14736905;
16/05/2021,1827949.96286724;
17/05/2021,2587553.50158795;
18/05/2021,1868815.4293386;
19/05/2021,3028422.48648207;
20/05/2021,2852078.71037173;
21/05/2021,2195789.55833004;
22/05/2021,2363175.72055731;
23/05/2021,2230242.99997165;
24/05/2021,2610428.81674686;
25/05/2021,2289844.61589972;
26/05/2021,2222384.34359886;
27/05/2021,1982668.87024671;
28/05/2021,2897052.40775948;
29/05/2021,2039125.5009289;
30/05/2021,1082550.30209887;
31/05/2021,1126569.51063795;
01/06/2021,1490940.36790236;
02/06/2021,1153281.58698812;
03/06/2021,1223004.13119985;
04/06/2021,1028877.2534888;
05/06/2021,765291.565428272;
06/06/2021,1783108.82241502;
07/06/2021,2157358.54278218;
08/06/2021,2527319.46075506;
09/06/2021,1325571.05292444;
10/06/2021,1412035.34807442;
11/06/2021,1463831.00104068;
12/06/2021,1009990.69843937;
13/06/2021,1183321.51243753;
14/06/2021,1487002.27888814;
15/06/2021,1403796.12825071;
16/06/2021,1608456.69153262;
17/06/2021,1568658.04091444;
18/06/2021,1556124.04734704;
19/06/2021,1079547.08358671;
20/06/2021,1277754.79587101;
21/06/2021,1748728.09934058;
22/06/2021,1936916.65816713;
23/06/2021,1822712.06438509;
24/06/2021,1857830.35332623;
25/06/2021,2377849.55667167;
26/06/2021,1775215.19229792;
27/06/2021,1374020.95712618;
28/06/2021,1568948.17375777;
