Timestamp,hash-rate
30-08-2020,125523152.51213105
31-08-2020,122462847.34276725
01-09-2020,122817197.0591872
02-09-2020,126059072.31151094
03-09-2020,126308447.33092046
04-09-2020,126308447.33092046
05-09-2020,122817197.0591872
06-09-2020,122193759.51066342
07-09-2020,125061572.23387288
08-09-2020,128038750.60213152
09-09-2020,127930089.15456904
10-09-2020,128329210.60868756
11-09-2020,131707283.00142738
12-09-2020,131873589.68471666
13-09-2020,135233596.35173255
14-09-2020,136485959.17091683
15-09-2020,136485692.0776978
16-09-2020,136608874.11025894
17-09-2020,137347966.30562553
18-09-2020,139811606.95684752
19-09-2020,143137521.8359972
20-09-2020,140550699.1522141
21-09-2020,139904505.85300222
22-09-2020,138113015.6593117
23-09-2020,136590567.7679259
24-09-2020,136974413.06759647
25-09-2020,133839259.63432507
26-09-2020,136694669.3221826
27-09-2020,138914905.99167842
28-09-2020,140454294.3307065
29-09-2020,138259695.9817892
30-09-2020,139905644.74347717
01-10-2020,141825918.29877982
02-10-2020,140042807.1402845
03-10-2020,135516448.04564258
04-10-2020,135653610.44244993
05-10-2020,136460935.27785838
06-10-2020,137953248.4370174
07-10-2020,136429165.5239667
08-10-2020,135725586.01090175
09-10-2020,140918695.23724532
10-10-2020,141724961.0808574
11-10-2020,140610835.70341167
12-10-2020,138141088.90059367
13-10-2020,139374491.48006323
14-10-2020,144308101.7979416
15-10-2020,144034012.33583722
16-10-2020,142526520.2942633
17-10-2020,144308101.7979416
18-10-2020,146484944.03741986
19-10-2020,144339932.5042559
20-10-2020,141671570.5088782
21-10-2020,139371646.1311858
22-10-2020,137413336.25306398
23-10-2020,136175009.876996
24-10-2020,133536442.0360123
25-10-2020,133347787.62065104
26-10-2020,130791599.99852991
27-10-2020,124401130.94322714
28-10-2020,120140818.23969196
29-10-2020,116022515.95960794
30-10-2020,113182307.4905845
31-10-2020,107643900.97598876
01-11-2020,108779984.36359814
02-11-2020,106649828.01183057
03-11-2020,110352547.38279942
04-11-2020,115107145.47938478
05-11-2020,117295045.81540206
06-11-2020,119772222.06754518
07-11-2020,121130852.42189337
08-11-2020,119831614.7795217
09-11-2020,128395929.46810675
10-11-2020,128159204.24421573
11-11-2020,126728589.87125704
12-11-2020,128278422.10862896
13-11-2020,126609372.0068438
14-11-2020,126132500.54919091
15-11-2020,127563114.92214958
16-11-2020,124869930.27180226
17-11-2020,126964111.47028197
18-11-2020,130557849.91211638
19-11-2020,128602936.8009664
20-11-2020,133025455.05449371
21-11-2020,137215282.81839424
22-11-2020,141076183.1850534
23-11-2020,140083639.15004906
24-11-2020,137459413.97417837
25-11-2020,135709930.52359793
26-11-2020,137334450.8705655
27-11-2020,135584967.41998506
28-11-2020,133710520.86579172
29-11-2020,131309769.58997218
30-11-2020,128313154.48992184
01-12-2020,131996845.77838084
02-12-2020,130449316.11808933
03-12-2020,133063743.47504064
04-12-2020,133409747.6679512
05-12-2020,133755751.86086176
06-12-2020,132914894.02681766
07-12-2020,137948518.4679561
08-12-2020,136860167.2374397
09-12-2020,137948518.4679561
10-12-2020,134275333.0649632
11-12-2020,133459069.64207588
12-12-2020,131826542.79630126
13-12-2020,134533587.60765907
14-12-2020,133351912.23475637
15-12-2020,132323572.34683476
16-12-2020,132373208.74072964
17-12-2020,131791042.04281808
18-12-2020,133832920.56666492
19-12-2020,136823648.1009803
20-12-2020,135635056.09561098
21-12-2020,134441785.80737978
22-12-2020,134839542.57012352
23-12-2020,136297984.03351718
24-12-2020,135900227.27077347
25-12-2020,134176614.63221732
26-12-2020,131392317.29301122
27-12-2020,130994560.53026749
28-12-2020,134096925.47590551
29-12-2020,135214014.93546125
30-12-2020,137514350.8900014
31-12-2020,142734576.9093029
01-01-2021,143322827.5875207
02-01-2021,145103346.17464498
03-01-2021,146350014.08380792
04-01-2021,148066610.06709132
05-01-2021,148727032.05668586
06-01-2021,149387454.04628038
07-01-2021,149651622.8421182
08-01-2021,149519538.4441993
09-01-2021,148690226.43303114
10-01-2021,151089413.12252623
11-01-2021,150775619.32875088
12-01-2021,151697118.48429376
13-01-2021,150562301.29304808
14-01-2021,149884529.16858566
15-01-2021,153019188.2256803
16-01-2021,155416162.87700734
17-01-2021,151611247.4016757
18-01-2021,150294161.2755994
19-01-2021,150440504.17849675
20-01-2021,148830732.24662563
21-01-2021,146196559.99447298
22-01-2021,144294102.25680715
23-01-2021,145607574.27831846
24-01-2021,146698957.53407037
25-01-2021,146182103.57621282
26-01-2021,148185308.051105
27-01-2021,148549580.94715497
28-01-2021,151113601.5414504
29-01-2021,152810307.7461931
30-01-2021,150095785.4763935
31-01-2021,150835173.58218855
01-02-2021,147877621.15900835
02-02-2021,146546722.5685773
03-02-2021,147729743.53784937
04-02-2021,149947907.85523447
05-02-2021,152461827.41493765
06-02-2021,156496366.00919214
07-02-2021,158947631.1342316
08-02-2021,165861253.1121618
09-02-2021,165150693.7202678
10-02-2021,164735889.57069185
11-02-2021,160711290.004352
12-02-2021,157334595.39524245
13-02-2021,157086558.5528119
14-02-2021,156021048.95022497
15-02-2021,154346676.71758842
16-02-2021,150997932.2523153
17-02-2021,150236853.96475324
18-02-2021,151454579.22485256
19-02-2021,153151584.74440536
20-02-2021,151777617.95629343
21-02-2021,150850010.2830296
22-02-2021,148383785.46233884
23-02-2021,149558390.992719
24-02-2021,153082073.67499626
25-02-2021,156295152.3276352
26-02-2021,154427502.27930492
27-02-2021,156124507.79885772
28-02-2021,154581775.50835517
01-03-2021,154118955.82120442
02-03-2021,156587327.4860085
03-03-2021,155507414.88265672
04-03-2021,151187764.46924955
05-03-2021,152730496.7597521
06-03-2021,151688789.94012287
07-03-2021,153716875.7783464
08-03-2021,157270062.99352607
09-03-2021,156532984.65120926
10-03-2021,155778275.39534608
11-03-2021,156136781.5795334
12-03-2021,155997206.24947718
13-03-2021,154598952.23605466
14-03-2021,156274408.861273
15-03-2021,155208209.1906795
16-03-2021,156579037.33858538
17-03-2021,154598952.23605463
18-03-2021,157645237.00917888
19-03-2021,157420617.69129133
20-03-2021,159552422.85545152
21-03-2021,159862383.76013902
22-03-2021,160766785.10844678
23-03-2021,163071647.62666962
24-03-2021,165959097.379709
25-03-2021,166720074.39596328
26-03-2021,165215303.47198915
27-03-2021,165991691.1762748
29-03-2021,166457523.79884622
30-03-2021,166457523.79884622
31-03-2021,164128360.6859892
01-04-2021,164904748.39027485
02-04-2021,163507250.52256066
03-04-2021,165320614.44934317
04-04-2021,162156064.84321746
05-04-2021,161456161.7321481
06-04-2021,163641576.61130667
07-04-2021,164631661.99870583
08-04-2021,166049721.39905867
09-04-2021,165551986.6639441
10-04-2021,167595961.6638288
11-04-2021,171868015.58859304
12-04-2021,171703705.82225594
13-04-2021,169731988.6262109
14-04-2021,169403369.0935367
15-04-2021,165788554.2341208
16-04-2021,172130189.217756
17-04-2021,164404171.2437248
18-04-2021,153847004.45635304
19-04-2021,150787954.81457785
20-04-2021,143371614.98041576
21-04-2021,141475361.2982035
22-04-2021,136207676.02162692
23-04-2021,131796265.46354498
24-04-2021,137155198.7479585
25-04-2021,146198398.66540632
26-04-2021,149045331.97275102
27-04-2021,151892265.28009573
28-04-2021,154236798.59202665
29-04-2021,161102931.86268145
30-04-2021,157586131.89478508
01-05-2021,159260798.5461643
02-05-2021,157685930.67036387
03-05-2021,161148443.24309954
04-05-2021,167961731.4564107
05-05-2021,170671365.20493427
06-05-2021,169868525.99901247
07-05-2021,174317609.61284038
08-05-2021,175207666.0080332
09-05-2021,177526237.23925784
10-05-2021,177672590.27902642
11-05-2021,178111649.39833206
12-05-2021,176794472.04041505
13-05-2021,178989767.63694337
14-05-2021,180666398.19828913
15-05-2021,179327827.54162303
16-05-2021,176179075.0439883
17-05-2021,172435828.21588296
18-05-2021,167614164.74565175
19-05-2021,160228122.6394344
20-05-2021,157288750.71671063
21-05-2021,150653185.81676158
22-05-2021,146384382.44060776
23-05-2021,145139314.78922957
24-05-2021,142827046.29381293
25-05-2021,143716380.33051163
26-05-2021,147807316.89932573
27-05-2021,147273716.47730651
28-05-2021,148163050.5140052
29-05-2021,149763851.7800629
30-05-2021,149763851.7800629
31-05-2021,150291730.25568306
01-06-2021,148955749.53382158
02-06-2021,148302838.99995765
03-06-2021,151415069.6569137
04-06-2021,152576708.79697996
05-06-2021,150991098.06671327
06-06-2021,149939087.75846583
07-06-2021,150665524.10616747
08-06-2021,149469765.97834072
09-06-2021,150516054.34018913
10-06-2021,144537263.70105547
11-06-2021,140202640.48768356
12-06-2021,136316426.5722467
13-06-2021,136465896.33822504
14-06-2021,133577497.88842888
15-06-2021,132807547.04458113
16-06-2021,129079871.70711632
17-06-2021,127657584.51122615
18-06-2021,128421919.85959901
19-06-2021,130280049.8087449
20-06-2021,125129902.82716668
21-06-2021,120460802.62675624
22-06-2021,116214240.84202921
23-06-2021,110552158.46239316
24-06-2021,107438013.15359335
25-06-2021,103899211.66632082
26-06-2021,101917482.8334482
27-06-2021,99935754.00057557
28-06-2021,93424359.26399414
29-06-2021,90876422.19315794
30-06-2021,90734870.13366707
01-07-2021,89036245.41977625
02-07-2021,87620724.82486725
03-07-2021,84789683.63504924
04-07-2021,86292418.37068424
05-07-2021,89670680.58608067
06-07-2021,90819460.55600242
07-07-2021,92563569.88878712
08-07-2021,92511258.75252502
09-07-2021,93241612.12545452
10-07-2021,93863737.36277
11-07-2021,96184636.54794826
12-07-2021,97204622.08928387
13-07-2021,96592630.7644825
14-07-2021,95980639.43968113
15-07-2021,100774571.4839585
16-07-2021,99652587.38848932
17-07-2021,101590559.91702698
18-07-2021,99739876.71500994
19-07-2021,100971806.31812736
20-07-2021,104626219.8019385
21-07-2021,102600064.78780982
22-07-2021,99339154.93317957
23-07-2021,101138948.1782596
24-07-2021,98947054.6236747
25-07-2021,99328674.26262681
26-07-2021,100202533.5669901
27-07-2021,98260624.00173834
28-07-2021,102921206.95834255
29-07-2021,104086352.6974936
30-07-2021,104766021.04533172
31-07-2021,107775980.87147193
01-08-2021,108889828.95130338
02-08-2021,109887906.60443926
03-08-2021,110044864.56184062
04-08-2021,110936509.26249743
05-08-2021,109693176.78900106
06-08-2021,110629262.16549277
07-08-2021,110879828.66054332
08-08-2021,112005260.90983877
09-08-2021,112417044.9573014
